16440821 function calls (16440326 primitive calls) in 6.154 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    61/60    0.062    0.001    9.432    0.157 threading.py:641(wait)
        1    0.000    0.000    6.031    6.031 {built-in method builtins.exec}
      117    0.224    0.002    5.668    0.048 threading.py:327(wait)
      244    3.475    0.014    5.081    0.021 bpe.py:1(pretokenize)
    86/57    0.001    0.000    3.190    0.056 queue.py:180(get)
  9634096    1.197    0.000    1.197    0.000 bpe.py:9(<genexpr>)
  6800036    0.609    0.000    0.609    0.000 {method 'group' of '_regex.Match' objects}
        1    0.000    0.000    0.024    0.024 <string>:1(<module>)
        1    0.000    0.000    0.024    0.024 1532789026.py:4(run)
       29    0.001    0.000    0.002    0.000 pydevd.py:1779(process_internal_commands)
       30    0.000    0.000    0.001    0.000 pydevd.py:315(can_exit)
       59    0.000    0.000    0.001    0.000 pydevd_daemon_thread.py:108(new_threading_enumerate)
       30    0.000    0.000    0.001    0.000 pydevd.py:1480(has_user_threads_alive)
      244    0.000    0.000    0.000    0.000 {method 'finditer' of '_regex.Pattern' objects}
        2    0.000    0.000    0.000    0.000 {method '__exit__' of 'sqlite3.Connection' objects}
       30    0.000    0.000    0.000    0.000 pydevd_utils.py:139(get_non_pydevd_threads)
     1121    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      145    0.000    0.000    0.000    0.000 pydevd.py:1723(notify_thread_created)
      175    0.000    0.000    0.000    0.000 threading.py:306(__exit__)
       29    0.000    0.000    0.000    0.000 pydevd_daemon_thread.py:36(py_db)
      175    0.000    0.000    0.000    0.000 pydev_is_thread_alive.py:14(is_thread_alive)
      117    0.000    0.000    0.000    0.000 threading.py:315(_acquire_restore)
      175    0.000    0.000    0.000    0.000 queue.py:267(_qsize)
      117    0.000    0.000    0.000    0.000 {method 'remove' of 'collections.deque' objects}
      118    0.000    0.000    0.000    0.000 threading.py:318(_is_owned)
      118    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       30    0.000    0.000    0.000    0.000 pydevd_comm.py:438(empty)
      182    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
      176    0.000    0.000    0.000    0.000 threading.py:303(__enter__)
      244    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       30    0.000    0.000    0.000    0.000 queue.py:115(empty)
      295    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        2    0.000    0.000    0.000    0.000 traitlets.py:708(__set__)
      118    0.000    0.000    0.000    0.000 threading.py:312(_release_save)
       29    0.000    0.000    0.000    0.000 pydevd.py:1598(get_internal_queue_and_event)
      206    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.000    0.000 traitlets.py:3631(set)
      175    0.000    0.000    0.000    0.000 {method 'is_done' of '_thread._ThreadHandle' objects}
      145    0.000    0.000    0.000    0.000 pydevd_constants.py:668(get_thread_id)
       29    0.000    0.000    0.000    0.000 threading.py:631(clear)
      174    0.000    0.000    0.000    0.000 {built-in method time.monotonic}
       29    0.000    0.000    0.000    0.000 threading.py:1427(current_thread)
        2    0.000    0.000    0.000    0.000 traitlets.py:689(set)
      118    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
      176    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
      118    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
      145    0.000    0.000    0.000    0.000 pydevd_constants.py:702(__enter__)
      145    0.000    0.000    0.000    0.000 pydevd_constants.py:705(__exit__)
       59    0.000    0.000    0.000    0.000 pydevd.py:1633(check_output_redirect)
      118    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        2    0.000    0.000    0.000    0.000 traitlets.py:718(_validate)
       29    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       30    0.000    0.000    0.000    0.000 threading.py:1145(daemon)
       29    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       59    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        2    0.000    0.000    0.000    0.000 traitlets.py:3474(validate)
        1    0.000    0.000    0.000    0.000 traitlets.py:1512(_notify_trait)
       29    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 history.py:1039(_writeout_output_cache)
        1    0.000    0.000    0.000    0.000 traitlets.py:1523(notify_change)
        1    0.000    0.000    0.000    0.000 traitlets.py:676(__get__)
       29    0.000    0.000    0.000    0.000 pydevd_constants.py:648(get_current_thread_id)
        1    0.000    0.000    0.000    0.000 traitlets.py:1527(_notify_observers)
        2    0.000    0.000    0.000    0.000 traitlets.py:3624(validate_elements)
        2    0.000    0.000    0.000    0.000 traitlets.py:727(_cross_validate)
        1    0.000    0.000    0.000    0.000 contextlib.py:145(__exit__)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.000    0.000 traitlets.py:2304(validate)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        2    0.000    0.000    0.000    0.000 traitlets.py:3486(validate_elements)
        4    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 typing.py:2366(cast)
    467/2    0.580    0.001    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 traitlets.py:629(get)
        2    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 history.py:1092(hold)
